collaborator,role,frequency,total,node_key,career_total,artist_cluster,found_as_producer,found_as_artist,cluster,name,is_dual_role,angle,distance,color,base_angle,base_distance,cluster_size,cluster_idx,global_count,global_idx,cluster_dist,cluster_angle_rad,cluster_cx,cluster_cy,cluster_local_angle,cluster_local_radius,cluster_x,cluster_y,global_angle,global_radius,dist_x,dist_y,x,y,node_size,img_radius,image_url,is_searching,search_match,label_opacity,label_visibility
"Bad Bunny","artist","low","1","Bad Bunny|artist","1","International","","Bad Bunny","International","Bad Bunny","false","236","296","#9c5d7a","236","296","1","1","247","219","296","4.118977034706617","434.47890057265886","254.60487852370775","0","36.5","470.97890057265886","254.60487852370775","523.1999999999999","443.9594576084623","544.7273634643935","940.5053185268059","544.7273634643935","940.5053185268059","6","3.389830508474576","images/Bad%20Bunny.webp","false","false","0.4","0"
"DVLP","producer","low","1","DVLP|producer","1","","DVLP","","Producer","DVLP","false","120","328","#7a6a8a","120","328","47","47","247","220","328","2.0943951023931953","436.0000000000001","784.0563324412959","110.39999999999999","137.11309200802089","312.1964493728418","725.1268758672816","525.6","444.97190922573975","342.6269663901439","137.01360690728387","342.6269663901439","137.01360690728387","6","3.389830508474576","images/DVLP.webp","false","false","0.4","0"
"Hudson Mohawke","producer","low","1","Hudson Mohawke|producer","1","","Hudson Mohawke","","Producer","Hudson Mohawke","false","120","328","#7a6a8a","120","328","79","79","247","221","328","2.0943951023931953","436.0000000000001","784.0563324412959","187.2","177.76388834631177","484.3118040981289","612.9833375391664","528","445.9820624195552","1035.9566466500637","594.030857922448","1035.9566466500637","594.030857922448","6","3.389830508474576","images/Hudson%20Mohawke.webp","false","false","0.4","0"
"Nabeyin","producer","low","1","Nabeyin|producer","1","","Nabeyin","","Producer","Nabeyin","false","120","328","#7a6a8a","120","328","108","108","247","222","328","2.0943951023931953","436.0000000000001","784.0563324412959","256.8","207.84609690826528","579.2195705173361","633.4304561091403","530.4","446.9899327725402","214.14390001433907","725.6436795123135","214.14390001433907","725.6436795123135","6","3.389830508474576","images/Nabeyin.webp","false","false","0.4","0"
"Bun B","artist","low","2","Bun B|artist","2","Houston Legends","","Bun B","Houston Legends","Bun B","false","336","278","#7a5d4a","336","278","1","1","76","76","278","5.8643062867009474","853.965637224643","386.9272132249275","0","36.5","890.465637224643","386.9272132249275","180","380","372.5851737580139","195.56199842114444","372.5851737580139","195.56199842114444","7.873514378137413","4.448313207987239","images/Bun%20B.webp","false","false","0.4","0"
"Waka Flocka Flame","artist","low","1","Waka Flocka Flame|artist","1","Trap","","Waka Flocka Flame","Trap","Waka Flocka Flame","false","72","258","#c4a05c","72","258","19","19","247","223","258","1.2566370614359172","679.7263845487364","745.3725812041496","43.199999999999996","87.17797887081348","741.5613871668148","683.9198965498382","532.8","447.9955356920424","732.4110852193364","72.01950452031389","732.4110852193364","72.01950452031389","6","3.389830508474576","images/Waka%20Flocka%20Flame.webp","false","false","0.4","0"
"BBYKOBE","producer","low","3","BBYKOBE|producer","3","","BBYKOBE","","Producer","BBYKOBE","false","120","328","#7a6a8a","120","328","17","17","51","50","328","2.0943951023931953","436.0000000000001","784.0563324412959","38.4","82.46211251235322","499.0232955826007","837.2358793922446","117.6","376.25606633113625","521.6670787950036","131.98834134436413","521.6670787950036","131.98834134436413","9.47300783992378","5.351981830465412","images/BBYKOBE.webp","false","false","0.4","0"
"Kesh","producer","low","1","Kesh|producer","1","","Kesh","","Producer","Kesh","false","120","328","#7a6a8a","120","328","93","93","247","224","328","2.0943951023931953","436.0000000000001","784.0563324412959","220.79999999999998","192.8730152198591","557.6191400238524","933.7519729251076","535.1999999999999","448.99888641287293","791.8747354763241","905.936061327262","791.8747354763241","905.936061327262","6","3.389830508474576","images/Kesh.webp","false","false","0.4","0"
"Mcevoy","producer","low","1","Mcevoy|producer","1","","Mcevoy","","Producer","Mcevoy","false","120","328","#7a6a8a","120","328","103","103","247","225","328","2.0943951023931953","436.0000000000001","784.0563324412959","244.79999999999998","202.9778313018444","632.9543699733322","734.9750106537989","537.6","450","183.39108425729734","329.89117799570283","183.39108425729734","329.89117799570283","6","3.389830508474576","images/Mcevoy.webp","false","false","0.4","0"
"Johnny Juliano","producer","low","1","Johnny Juliano|producer","1","","Johnny Juliano","","Producer","Johnny Juliano","false","120","328","#7a6a8a","120","328","90","90","247","226","328","2.0943951023931953","436.0000000000001","784.0563324412959","213.6","189.73665961010278","625.6606831998698","778.6874174523367","540","450","1022.1070422579498","344.03319303055105","1022.1070422579498","344.03319303055105","6","3.389830508474576","images/Johnny%20Juliano.webp","false","false","0.4","0"
